ItemNumber,NestID,Length_mm,AssignedBeam_mm,BeamIndex,WasteOnBeam_mm,OldWaste_mm
00862,all,1665,13000,191,0,
UD11-0000-P,all,11329,13000,192,1,1671
00341,all,1664,13000,192,1,106
UD11-0019-P,all,11315,13000,193,0,1685
02500,all,1679,13000,193,0,202
UD11-0051-S,all,11315,13000,194,0,1685
00391,all,1679,13000,194,0,
UD11-0021-P,all,11306,13000,195,0,1694
00569,all,1688,13000,195,0,
UD11-0053-S,all,11306,13000,196,1,1694
02126,all,1687,13000,196,1,
UA12-0026-S,all,11304,13000,197,0,1696
02264,all,1690,13000,197,0,3169
UD31-0062-S,all,11301,13000,198,0,1699
00267,all,1693,13000,198,0,555
UD31-0013-P,all,11301,13000,199,1,1699
02999,all,1692,13000,199,1,955
UD11-0023-P,all,11301,13000,200,8,1699
00206,all,1685,13000,200,8,1
UD11-0055-S,all,11301,13000,201,8,1699
00761,all,1685,13000,201,8,
01136,all,11300,13000,202,0,
01256,all,1694,13000,202,0,
00101,all,11300,13000,203,0,
UG32-0550-S,all,1694,13000,203,0,
00100,all,11300,13000,204,0,6149
UG32-0487-S,all,1694,13000,204,0,306
00099,all,11300,13000,205,0,
UG32-0349-S,all,1694,13000,205,0,311
00095,all,11300,13000,206,10,1850
00536,all,1684,13000,206,10,5199
00093,all,11300,13000,207,10,240
02265,all,1684,13000,207,10,3055
00091,all,11300,13000,208,10,25
02274,all,1684,13000,208,10,55
00029,all,11300,13000,209,10,2398
00357,all,1684,13000,209,10,8
00026,all,11300,13000,210,10,
00268,all,1684,13000,210,10,2167
00025,all,11300,13000,211,10,2464
00142,all,1684,13000,211,10,1000
00024,all,11300,13000,212,10,2439
03423,all,1684,13000,212,10,9
00022,all,11300,13000,213,10,
02303,all,1684,13000,213,10,4303
00020,all,11300,13000,214,10,2820
02295,all,1684,13000,214,10,3371
00016,all,11300,13000,215,12,
00821,all,1682,13000,215,12,11
00015,all,11300,13000,216,12,105
00398,all,1682,13000,216,12,4547
00014,all,11300,13000,217,12,198
01092,all,1682,13000,217,12,250
00013,all,11300,13000,218,12,2467
00366,all,1682,13000,218,12,8
UD32-0016-P,all,11300,13000,219,12,1700
00376,all,1682,13000,219,12,37
UD32-0004-P,all,11300,13000,220,12,1700
00199,all,1682,13000,220,12,
UD32-0003-P,all,11300,13000,221,12,1700
00885,all,1682,13000,221,12,
UD32-0002-P,all,11300,13000,222,12,1700
00555,all,1682,13000,222,12,7505
UD32-0023-S,all,11300,13000,223,12,1700
00777,all,1682,13000,223,12,31
UD32-0009-S,all,11300,13000,224,12,1700
02163,all,1682,13000,224,12,
UD32-0008-S,all,11300,13000,225,13,1700
00134,all,1681,13000,225,13,
UD32-0007-S,all,11300,13000,226,13,1700
00091,all,1681,13000,226,13,25
UD11-0025-P,all,11295,13000,227,0,1705
01115,all,1699,13000,227,0,120
UD11-0057-S,all,11295,13000,228,0,1705
00226,all,1699,13000,228,0,27
UD11-0078-P,all,11289,13000,229,0,394
04810,all,1705,13000,229,0,
UD11-0083-S,all,11289,13000,230,1,1711
