ItemNumber,NestID,Length_mm,AssignedBeam_mm,BeamIndex,WasteOnBeam_mm,OldWaste_mm
UC31-0011-P,all,11702,13000,147,3,1298
00034,all,1295,13000,147,3,2385
UC31-0012-P,all,11702,13000,148,3,1298
00773,all,1295,13000,148,3,6488
UC31-0038-S,all,11702,13000,149,3,1298
00917,all,1295,13000,149,3,6466
UC31-0039-S,all,11702,13000,150,3,1298
01339,all,1295,13000,150,3,47
UA11-0023-S,all,11701,13000,151,3,1299
00071,all,1296,13000,151,3,4
UA11-0008-P,all,11700,13000,152,3,1300
00085,all,1297,13000,152,3,2203
UC31-0421-S,all,11699,13000,153,3,1301
00084,all,1298,13000,153,3,3916
UC31-0441-P,all,11699,13000,154,3,1301
01449,all,1298,13000,154,3,
UC31-0008-P,all,11698,13000,155,3,1302
00455,all,1299,13000,155,3,3371
UC31-0035-S,all,11698,13000,156,3,1302
00465,all,1299,13000,156,3,129
UC31-0005-P,all,11696,13000,157,3,1304
00222,all,1301,13000,157,3,
UC31-0006-P,all,11696,13000,158,3,1304
00834,all,1301,13000,158,3,
UC31-0032-S,all,11696,13000,159,3,1304
00835,all,1301,13000,159,3,2752
UC31-0033-S,all,11696,13000,160,3,1304
01763,all,1301,13000,160,3,
UA11-0012-P,all,11661,13000,161,3,1339
00139,all,1336,13000,161,3,
UA11-0193-S,all,11661,13000,162,3,33
00571,all,1336,13000,162,3,4017
UA11-0010-P,all,11638,13000,163,3,1362
00038,all,1359,13000,163,3,2006
UA13-0268-S,all,11630,13000,164,3,593
00701,all,1367,13000,164,3,45
UA13-0009-S,all,11625,13000,165,3,598
00126,all,1372,13000,165,3,
UA13-0010-S,all,11621,13000,166,3,1379
00283,all,1376,13000,166,3,6649
UA13-0142-S,all,11618,13000,167,3,1382
00074,all,1379,13000,167,3,2658
UA11-0017-S,all,11613,13000,168,3,1387
00713,all,1384,13000,168,3,8594
UA11-0005-P,all,11609,13000,169,3,1391
00556,all,1388,13000,169,3,8287
UA11-0016-S,all,11609,13000,170,3,1391
00557,all,1388,13000,170,3,
UA12-0009-P,all,11604,13000,171,3,1396
00821,all,1393,13000,171,3,11
UA12-0013-P,all,11604,13000,172,3,1396
02758,all,1393,13000,172,3,4730
UA13-0282-S,all,11604,13000,173,4,1396
00794,all,1392,13000,173,4,5773
UA12-0015-P,all,11603,13000,174,3,1397
00047,all,1394,13000,174,3,
UA12-0019-P,all,11600,13000,175,3,1400
00040,all,1397,13000,175,3,1733
UA12-0017-P,all,11597,13000,176,3,1403
00098,all,1400,13000,176,3,80
UA12-0020-P,all,11596,13000,177,3,1404
00250,all,1401,13000,177,3,4795
UF11-0004-P,all,11580,13000,178,3,1420
00235,all,1417,13000,178,3,149
UA11-0021-S,all,11529,13000,179,3,1471
00270,all,1468,13000,179,3,15
UA11-0006-P,all,11504,13000,180,3,1496
00003,all,1493,13000,180,3,26
00335,all,11472,13000,181,3,1582
00111,all,1525,13000,181,3,3941
UB11-0008-S,all,11393,13000,182,3,707
00091,all,1604,13000,182,3,25
00194,all,11379,13000,183,3,12583
00043,all,1618,13000,183,3,4920
00333,all,11379,13000,184,3,506
00057,all,1618,13000,184,3,
UD11-0012-P,all,11341,13000,185,3,1219
00409,all,1656,13000,185,3,
UD11-0044-S,all,11341,13000,186,5,1659
00533,all,1654,13000,186,5,4453
UD11-0011-P,all,11340,13000,187,3,1660
03213,all,1657,13000,187,3,2939
UD11-0043-S,all,11340,13000,188,7,1660
00232,all,1653,13000,188,7,149
UD11-0000-P,all,11329,13000,189,3,1671
03202,all,1668,13000,189,3,2497
UD11-0001-P,all,11329,13000,190,3,1671
03207,all,1668,13000,190,3,1628
UD11-0032-S,all,11329,13000,191,3,1174
UF11-1540-S,all,1668,13000,191,3,2
UD11-0033-S,all,11329,13000,192,4,179
00183,all,1667,13000,192,4,4744
UD11-0019-P,all,11315,13000,193,3,1685
00199,all,1682,13000,193,3,
UD11-0051-S,all,11315,13000,194,3,1685
00366,all,1682,13000,194,3,8
UD11-0021-P,all,11306,13000,195,3,1694
03552,all,1691,13000,195,3,
UD11-0053-S,all,11306,13000,196,4,1694
00009,all,1690,13000,196,4,3116
UA12-0026-S,all,11304,13000,197,3,1696
00267,all,1693,13000,197,3,555
UD11-0023-P,all,11301,13000,198,3,1699
00983,all,1696,13000,198,3,2132
UD11-0055-S,all,11301,13000,199,3,1699
04264,all,1696,13000,199,3,
UD31-0013-P,all,11301,13000,200,4,1699
01338,all,1695,13000,200,4,1680
UD31-0062-S,all,11301,13000,201,4,1699
03553,all,1695,13000,201,4,792
00013,all,11300,13000,202,3,2467
01552,all,1697,13000,202,3,5668
00014,all,11300,13000,203,3,198
01575,all,1697,13000,203,3,
00015,all,11300,13000,204,3,105
02270,all,1697,13000,204,3,
00016,all,11300,13000,205,3,
UA12-8869-S,all,1697,13000,205,3,4
00020,all,11300,13000,206,6,2820
UG32-0487-S,all,1694,13000,206,6,306
00022,all,11300,13000,207,6,
UG32-0550-S,all,1694,13000,207,6,
00024,all,11300,13000,208,13,2439
02126,all,1687,13000,208,13,
00025,all,11300,13000,209,13,2464
02130,all,1687,13000,209,13,10236
00026,all,11300,13000,210,14,
01264,all,1686,13000,210,14,
00029,all,11300,13000,211,15,2398
00761,all,1685,13000,211,15,
00091,all,11300,13000,212,15,25
02284,all,1685,13000,212,15,89
00093,all,11300,13000,213,16,240
02265,all,1684,13000,213,16,3055
00095,all,11300,13000,214,16,1850
02274,all,1684,13000,214,16,55
00099,all,11300,13000,215,16,
02295,all,1684,13000,215,16,3371
00100,all,11300,13000,216,16,6149
02303,all,1684,13000,216,16,4303
00101,all,11300,13000,217,16,
03423,all,1684,13000,217,16,9
01136,all,11300,13000,218,18,
00398,all,1682,13000,218,18,4547
UD32-0002-P,all,11300,13000,219,18,1700
00439,all,1682,13000,219,18,
UD32-0003-P,all,11300,13000,220,18,1700
00555,all,1682,13000,220,18,7505
UD32-0004-P,all,11300,13000,221,18,1700
00777,all,1682,13000,221,18,31
UD32-0007-S,all,11300,13000,222,18,1700
00821,all,1682,13000,222,18,11
UD32-0008-S,all,11300,13000,223,18,1700
00885,all,1682,13000,223,18,
UD32-0009-S,all,11300,13000,224,18,1700
01092,all,1682,13000,224,18,250
UD32-0016-P,all,11300,13000,225,18,1700
02163,all,1682,13000,225,18,
UD32-0023-S,all,11300,13000,226,18,1700
02517,all,1682,13000,226,18,
UD11-0025-P,all,11295,13000,227,3,1705
00978,all,1702,13000,227,3,183
UD11-0057-S,all,11295,13000,228,3,1705
00979,all,1702,13000,228,3,112
UD11-0078-P,all,11289,13000,229,3,394
00287,all,1708,13000,229,3,765
UD11-0083-S,all,11289,13000,230,3,1711
00437,all,1708,13000,230,3,765
UA12-0024-S,all,11285,13000,231,4,1715
00141,all,1711,13000,231,4,1000
UA12-0028-S,all,11285,13000,232,4,1715
00801,all,1711,13000,232,4,3191
UA12-0030-S,all,11283,13000,233,3,1717
00167,all,1714,13000,233,3,3158
UA12-0034-S,all,11280,13000,234,3,1720
00035,all,1717,13000,234,3,2385
00059,all,11279,13000,235,3,
01651,all,1718,13000,235,3,2887
00068,all,11279,13000,236,3,28
02270,all,1718,13000,236,3,
UD11-0027-P,all,11279,13000,237,3,111
03870,all,1718,13000,237,3,5419
UD11-0028-P,all,11278,13000,238,3,1722
00261,all,1719,13000,238,3,1025
00473,all,11277,13000,239,3,654
00045,all,1720,13000,239,3,825
UA12-0021-S,all,11277,13000,240,3,1723
00090,all,1720,13000,240,3,11
UB24-0006-P,all,11277,13000,241,3,1723
03010,all,1720,13000,241,3,884
UB24-0007-P,all,11277,13000,242,3,1723
04211,all,1720,13000,242,3,1158
UB24-0008-P,all,11277,13000,243,3,1723
04238,all,1720,13000,243,3,1066
UB24-0009-P,all,11277,13000,244,3,1723
04242,all,1720,13000,244,3,
UB24-0020-S,all,11277,13000,245,4,1723
00362,all,1719,13000,245,4,
UB24-0021-S,all,11277,13000,246,4,1723
00444,all,1719,13000,246,4,2398
UB24-0022-S,all,11277,13000,247,4,1723
00553,all,1719,13000,247,4,
UB24-0023-S,all,11277,13000,248,5,1723
03871,all,1718,13000,248,5,6
UB24-0048-P,all,11277,13000,249,6,1723
01292,all,1717,13000,249,6,8350
UB24-0054-S,all,11277,13000,250,8,1723
00638,all,1715,13000,250,8,
00006,all,11276,13000,251,3,2801
00232,all,1721,13000,251,3,149
00007,all,11276,13000,252,3,2498
00287,all,1721,13000,252,3,765
00040,all,11276,13000,253,3,1733
00288,all,1721,13000,253,3,765
00042,all,11276,13000,254,3,26
00354,all,1721,13000,254,3,190
00043,all,11276,13000,255,3,4920
00362,all,1721,13000,255,3,
00044,all,11276,13000,256,3,13
00363,all,1721,13000,256,3,
00497,all,11276,13000,257,3,4989
00364,all,1721,13000,257,3,129
01582,all,11276,13000,258,3,7
00365,all,1721,13000,258,3,8
01627,all,11276,13000,259,3,6404
00692,all,1721,13000,259,3,220
01629,all,11276,13000,260,3,
01111,all,1721,13000,260,3,9
01652,all,11276,13000,261,15,
00456,all,1709,13000,261,15,3371
01660,all,11276,13000,262,23,
01436,all,1701,13000,262,23,2522
UA12-0032-S,all,11276,13000,263,23,1724
03035,all,1701,13000,263,23,5650
UD11-0029-P,all,11276,13000,264,24,1724
00041,all,1700,13000,264,24,26
UD11-0061-S,all,11276,13000,265,24,1724
00155,all,1700,13000,265,24,137
00012,all,11275,13000,266,3,2467
00143,all,1722,13000,266,3,110
00013,all,11275,13000,267,3,2467
00701,all,1722,13000,267,3,45
00014,all,11275,13000,268,3,198
03060,all,1722,13000,268,3,266
00020,all,11275,13000,269,3,2820
03062,all,1722,13000,269,3,266
00021,all,11275,13000,270,25,2621
00587,all,1700,13000,270,25,1083
00022,all,11275,13000,271,25,
01019,all,1700,13000,271,25,553
00023,all,11275,13000,272,25,4473
01957,all,1700,13000,272,25,11
00024,all,11275,13000,273,25,2439
02126,all,1700,13000,273,25,
00041,all,11275,13000,274,25,26
02128,all,1700,13000,274,25,
00063,all,11275,13000,275,25,2866
02129,all,1700,13000,275,25,10236
00064,all,11275,13000,276,25,
04809,all,1700,13000,276,25,
00065,all,11275,13000,277,25,3
04816,all,1700,13000,277,25,5310
00066,all,11275,13000,278,25,2
04832,all,1700,13000,278,25,4401
00067,all,11275,13000,279,25,2
04834,all,1700,13000,279,25,45
00069,all,11275,13000,280,25,4
UA12-8868-S,all,1700,13000,280,25,4
00070,all,11275,13000,281,26,4
00226,all,1699,13000,281,26,27
00071,all,11275,13000,282,26,4
00291,all,1699,13000,282,26,4
00072,all,11275,13000,283,26,4
00407,all,1699,13000,283,26,33
00073,all,11275,13000,284,26,2559
01115,all,1699,13000,284,26,120
00536,all,11275,13000,285,27,5199
00580,all,1698,13000,285,27,
01084,all,11275,13000,286,27,1921
02562,all,1698,13000,286,27,24
01085,all,11275,13000,287,27,54
03002,all,1698,13000,287,27,4995
01086,all,11275,13000,288,27,54
03004,all,1698,13000,288,27,1066
01099,all,11275,13000,289,27,295
03006,all,1698,13000,289,27,884
01100,all,11275,13000,290,44,233
00116,all,1681,13000,290,44,104
01101,all,11275,13000,291,44,5612
00134,all,1681,13000,291,44,
01226,all,11275,13000,292,44,1120
00510,all,1681,13000,292,44,504
01290,all,11275,13000,293,44,342
00534,all,1681,13000,293,44,9141
01520,all,11275,13000,294,44,
00750,all,1681,13000,294,44,2288
01592,all,11275,13000,295,44,5512
01265,all,1681,13000,295,44,6248
01594,all,11275,13000,296,44,
04553,all,1681,13000,296,44,
01612,all,11275,13000,297,45,
00370,all,1680,13000,297,45,8
01614,all,11275,13000,298,45,1500
00376,all,1680,13000,298,45,37
01616,all,11275,13000,299,45,
00896,all,1680,13000,299,45,7
UD11-0030-P,all,11275,13000,300,45,1725
01118,all,1680,13000,300,45,400
UD11-0062-S,all,11275,13000,301,45,1725
02068,all,1680,13000,301,45,
UD12-0002-P,all,11275,13000,302,45,1725
02478,all,1680,13000,302,45,
UD12-0003-P,all,11275,13000,303,45,1725
03305,all,1680,13000,303,45,
UD12-0004-P,all,11275,13000,304,45,1725
03306,all,1680,13000,304,45,1920
UD12-0005-P,all,11275,13000,305,46,1725
00367,all,1679,13000,305,46,
UD12-0006-P,all,11275,13000,306,46,1725
00391,all,1679,13000,306,46,
UD12-0012-S,all,11275,13000,307,46,1725
00453,all,1679,13000,307,46,129
UD12-0013-S,all,11275,13000,308,46,1725
01506,all,1679,13000,308,46,
UD12-0014-S,all,11275,13000,309,46,1725
01735,all,1679,13000,309,46,2538
UD12-0015-S,all,11275,13000,310,46,1725
02164,all,1679,13000,310,46,50
UD12-0016-S,all,11275,13000,311,46,1725
02500,all,1679,13000,311,46,202
03039,all,11255,13000,312,3,1745
00003,all,1742,13000,312,3,26
UD11-0059-S,all,11254,13000,313,3,1746
00378,all,1743,13000,313,3,834
UD11-0060-S,all,11253,13000,314,3,1747
00928,all,1744,13000,314,3,1
00703,all,11250,13000,315,3,1792
00056,all,1747,13000,315,3,60
03040,all,11243,13000,316,3,1757
00004,all,1754,13000,316,3,617
UC11-0010-P,all,11177,13000,317,3,1823
00059,all,1820,13000,317,3,
UC32-0024-S,all,11150,13000,318,4,1850
00191,all,1846,13000,318,4,1582
UC32-0232-P,all,11150,13000,319,4,1850
00328,all,1846,13000,319,4,84
00337,all,11144,13000,320,3,45
00364,all,1853,13000,320,3,129
UB11-0028-P,all,11027,13000,321,3,1973
00105,all,1970,13000,321,3,
00037,all,11025,13000,322,3,2014
00228,all,1972,13000,322,3,27
UB11-0000-P,all,11014,13000,323,4,284
00213,all,1982,13000,323,4,2451
UG32-1911-S,all,11000,13000,324,3,306
00361,all,1997,13000,324,3,803
UG32-0007-S,all,10995,13000,325,3,705
03654,all,2002,13000,325,3,
UG32-0064-S,all,10995,13000,326,3,584
03659,all,2002,13000,326,3,247
UG32-1909-S,all,10995,13000,327,4,485
02102,all,2001,13000,327,4,5174
UG32-1910-S,all,10995,13000,328,4,311
03456,all,2001,13000,328,4,758
UB11-0001-P,all,10905,13000,329,3,2095
00250,all,2092,13000,329,3,4795
UB11-0031-P,all,10901,13000,330,3,2099
00111,all,2096,13000,330,3,3941
01430,all,10900,13000,331,3,22
00092,all,2097,13000,331,3,240
01431,all,10900,13000,332,3,1
00112,all,2097,13000,332,3,
01432,all,10900,13000,333,3,
02291,all,2097,13000,333,3,3464
01439,all,10900,13000,334,3,1949
02302,all,2097,13000,334,3,4055
01440,all,10900,13000,335,3,1949
03461,all,2097,13000,335,3,295
01441,all,10900,13000,336,4,1
00691,all,2096,13000,336,4,1
00103,all,10875,13000,337,3,6822
02294,all,2122,13000,337,3,
00266,all,10869,13000,338,3,558
00100,all,2128,13000,338,3,6149
00015,all,10867,13000,339,3,105
00079,all,2130,13000,339,3,2227
00022,all,10867,13000,340,3,
00152,all,2130,13000,340,3,1918
00090,all,10866,13000,341,3,11
00528,all,2131,13000,341,3,
00009,all,10776,13000,342,3,3116
00112,all,2221,13000,342,3,
01024,all,10751,13000,343,3,8
00075,all,2246,13000,343,3,2658
UB11-0014-P,all,10646,13000,344,3,2354
02610,all,2351,13000,344,3,2691
UB11-0036-S,all,10646,13000,345,4,2354
00010,all,2350,13000,345,4,249
UB11-0013-P,all,10645,13000,346,3,2355
00417,all,2352,13000,346,3,2549
UB11-0035-S,all,10645,13000,347,3,2355
00974,all,2352,13000,347,3,174
UB11-0015-P,all,10620,13000,348,3,2380
00653,all,2377,13000,348,3,12
UB11-0037-S,all,10620,13000,349,3,2380
01936,all,2377,13000,349,3,2126
UB11-0017-P,all,10617,13000,350,4,2383
01698,all,2379,13000,350,4,2082
UB11-0039-S,all,10617,13000,351,5,2383
