ItemNumber,NestID,Length_mm,AssignedBeam_mm,BeamIndex,WasteOnBeam_mm,OldWaste_mm
02994,9747,904,6000,13964,3675,5174
05336,9747,230,6000,13964,3675,6
02971,9748,1182,6000,13965,3855,24
04512,9748,652,6000,13965,3855,596
05085,9748,302,6000,13965,3855,54
03034,9749,3388,6000,13966,377,10
02986,9749,2229,6000,13966,377,1505
02060,9749,1561,6000,13967,3621,10
04511,9749,812,6000,13967,3621,3688
02974,9750,7500,8000,13968,497,91
02973,9751,7500,8000,13969,497,500
01328,9752,3820,6000,13970,2177,792
03033,9752,3388,6000,13971,2609,792
02985,9753,2229,6000,13972,2861,5
02993,9753,904,6000,13972,2861,4793
03040,9754,11243,13000,13973,1754,1757
03038,9755,8984,13000,13974,4013,4016
03037,9756,7350,8000,13975,647,5650
05332,9757,1094,6000,13976,4057,6728
05333,9757,843,6000,13976,4057,6728
03269,9758,496,6000,13977,327,
03270,9758,496,6000,13977,327,
03272,9758,496,6000,13977,327,
03273,9758,496,6000,13977,327,
03267,9758,496,6000,13977,327,
03268,9758,496,6000,13977,327,
03275,9758,390,6000,13977,327,
03284,9758,390,6000,13977,327,
03285,9758,390,6000,13977,327,
03286,9758,390,6000,13977,327,
03290,9758,366,6000,13977,327,
03291,9758,366,6000,13977,327,2651
03288,9758,366,6000,13977,327,
03289,9758,366,6000,13978,5631,
03266,9759,496,6000,13979,2464,2494
03274,9759,390,6000,13979,2464,2494
03287,9759,366,6000,13979,2464,2494
03280,9759,322,6000,13979,2464,2494
03281,9759,322,6000,13979,2464,2494
03282,9759,322,6000,13979,2464,2494
03283,9759,322,6000,13979,2464,2494
03277,9759,322,6000,13979,2464,2494
03278,9759,322,6000,13979,2464,2494
03279,9759,322,6000,13979,2464,2494
02670,9760,4171,6000,13980,1826,1829
02639,9761,3506,6000,13981,2491,2494
02638,9762,3506,6000,13982,2491,2494
03303,9763,120,6000,13983,5508,5520
03301,9763,120,6000,13983,5508,5520
03302,9763,120,6000,13983,5508,5520
03300,9763,120,6000,13983,5508,5520
02802,9764,1524,6000,13984,4473,970
02036,9765,1400,6000,13985,388,400
05801,9765,1400,6000,13985,388,400
05803,9765,1400,6000,13985,388,400
05837,9765,1400,6000,13985,388,400
01991,9766,1377,6000,13986,2001,2129
05800,9766,1330,6000,13986,2001,2010
05838,9766,1283,6000,13986,2001,2010
02009,9767,439,6000,13987,5154,4725
02013,9767,401,6000,13987,5154,4725
05131,9768,491,6000,13988,4518,3394
05132,9768,491,6000,13988,4518,3394
05133,9768,491,6000,13988,4518,3394
01896,9769,492,6000,13989,5505,2004
